method,observable,n,mae,rmse,bias,median_ae,p95_ae,regime
B_mlp_soft,Qalpha,0,,,,,,R0_random
B_mlp_soft,delta2n,11,0.3828431132593602,0.6770199276823561,0.3222533596286532,0.3008172571657042,1.2706307359950983,R0_random
B_mlp_soft,delta2p,12,0.5009024391622082,0.6932907028380993,0.24802163244381367,0.3570797936057488,1.335963681677185,R0_random
B_mlp_residual,Sn,98,0.2752234908973974,0.4202215241047293,0.024213162364143167,0.152408927171507,0.9060369443932956,R0_random
B_mlp_residual,S2n,76,0.36169793125692556,0.5327196870698886,-0.11595659481758584,0.19421385164753246,1.2784392005445824,R0_random
B_mlp_residual,Sp,86,0.30027061289617035,0.5012472104196026,0.025674414134588954,0.1813181695339381,0.8413301302431933,R0_random
B_mlp_residual,S2p,82,0.314163721677666,0.4610443525193415,0.005932379211219471,0.18182453582619473,1.0864674477870058,R0_random
B_mlp_residual,Qalpha,0,,,,,,R0_random
B_mlp_residual,delta2n,11,0.2535174505053755,0.31312395667679815,0.02198954813854667,0.21267803355203796,0.5639511125320524,R0_random
B_mlp_residual,delta2p,12,0.2746429586486651,0.33010904411724684,0.12933683283670425,0.2315127030711892,0.6375682429403183,R0_random
B_mlp_adaptive,Sn,98,0.6759171761926407,0.8606910119634251,0.004438226024783675,0.5661239772646809,1.8107764084083242,R0_random
B_mlp_adaptive,S2n,76,1.0594301275128444,1.3452290002977532,0.11128359245771018,0.8629044762980129,2.7257146266756536,R0_random
B_mlp_adaptive,Sp,86,0.8348174816334752,1.0475976978903152,-0.12743770865799833,0.7576345095236547,1.8846094817787211,R0_random
B_mlp_adaptive,S2p,82,1.0433494208866747,1.4081394544233303,0.04152682681799655,0.8767605308045177,2.9616492768505167,R0_random
B_mlp_adaptive,Qalpha,0,,,,,,R0_random
B_mlp_adaptive,delta2n,11,0.3799531526669982,0.708749628909618,0.2978096077736645,0.1499930642153231,1.34026786737968,R0_random
B_mlp_adaptive,delta2p,12,0.5952019888420542,0.7730786464935386,0.17076692322669373,0.5625948647499399,1.4696794322617899,R0_random
B_ridge_data,Sn,98,0.6219425891841491,0.9235928123654215,-0.03672148886131707,0.48136198663183905,1.4495041287219899,R0_random
B_ridge_data,S2n,76,0.7547222358909716,1.0079605738775472,0.021523179843865734,0.6163764285071238,1.9999457932482017,R0_random
B_ridge_data,Sp,86,0.5261049705453327,0.7334195969380485,0.14305838897403564,0.3926142907360486,1.2448551790199929,R0_random
B_ridge_data,S2p,82,0.7457869040042374,1.0642619153193145,0.13968924821593956,0.6154657335986258,1.7997820744054027,R0_random
B_ridge_data,Qalpha,0,,,,,,R0_random
B_ridge_data,delta2n,11,0.3750973543433531,0.4788251341003044,0.3277349914538919,0.3419197474311204,0.9288623200372257,R0_random
B_ridge_data,delta2p,12,0.22852141110832727,0.28675408727923996,0.18555349213106828,0.18012022551687323,0.5188067096395229,R0_random
B_ridge_soft,Sn,98,0.6219425891841491,0.9235928123654215,-0.03672148886131707,0.48136198663183905,1.4495041287219899,R0_random
B_ridge_soft,S2n,76,0.7547222358909716,1.0079605738775472,0.021523179843865734,0.6163764285071238,1.9999457932482017,R0_random
B_ridge_soft,Sp,86,0.5261049705453327,0.7334195969380485,0.14305838897403564,0.3926142907360486,1.2448551790199929,R0_random
B_ridge_soft,S2p,82,0.7457869040042374,1.0642619153193145,0.13968924821593956,0.6154657335986258,1.7997820744054027,R0_random
B_ridge_soft,Qalpha,0,,,,,,R0_random
B_ridge_soft,delta2n,11,0.3750973543433531,0.4788251341003044,0.3277349914538919,0.3419197474311204,0.9288623200372257,R0_random
